,Title,Date,Author,Summary
1396,LIVE FUTURES REPORT 03/01: LME base metals prices consolidate in mixed trading; nickel maintains upward momentum,1/3/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mixed during morning trading on Thursday January 3, with the moderate strength in the US dollar index against a backdrop of low LME stocks keeping trading ranges narrow."
1397,CHINA ALUMINIUM INGOT ADC 12 SNAPSHOT: MJP export stable on holiday lull; Chinese car sales weakness hits domestic price,1/3/2019,Hui Li,Key data from the Wednesday January 2 pricing session in Asia.
1399,IN CASE YOU MISSED IT: 5 key stories from January 2,1/3/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Wednesday January 2 that are worth another look.
1395,"Brazil's monthly primary aluminium output falls to year-low in November, Abal says ",1/3/2019,Renato Rostás,"Brazil produced 48,800 tonnes of primary aluminium in November 2018, making this the lowest monthly output of the year, national aluminium association Abal’s figures showed. "
1385,LIVE FUTURES REPORT 04/01: Base metals prices continue uptrend; copper up 3%,1/4/2019,Hassan Butt,"Base metals prices on the London Metal Exchange continued their uptrend at the close of trading on Friday January 4, buoyed by strong gains in the US stock indices while depleting LME stocks keep prices elevated. "
1384,"US A380.1, 356.1 secondary alloy prices yield to sustained LME weakness",1/4/2019,Michael Roh,"The price ranges for A380.1 and 356.1 secondary aluminium alloy edged down on Thursday January 3, pressured by persistent weakness in London Metal Exchange aluminium prices."
1386,"NEWSBREAK: Q1 MJP aluminium premium at $83-85/t, lowest in over 2 years",1/4/2019,"Perrine Faye, Hui Li, Mia Aureus","The benchmark for the supply of aluminium to main Japanese ports (MJP) in the first quarter of 2019 has settled in a premium range of $83-85 per tonne cif over the London Metal Exchange price, the lowest level in more than two years, sources directly involved in the negotiations disclosed to Fastmarkets MB."
1389,LIVE FUTURES REPORT 04/01: LME base metals prices rally on weaker dollar; tin falls despite 560t outflow,1/4/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were predominantly higher during morning trading on Friday January 4, with a weaker dollar index spurring buying momentum in London."
1388,LIVE FUTURES REPORT 04/01: Comex copper recovers following strong jobs report,1/4/2019,Dalton Barker,"Comex copper prices staged a major recovery in the final morning trading session in the United States, amid a strong December jobs report."
1391,LIVE FUTURES REPORT 04/01: SHFE copper prices slump on macroeconomic concerns; nickel finds support,1/4/2019,Susan Zou,"Copper prices on the Shanghai Futures Exchange extended their losses during Asian trading morning on Friday January 4, driven by general risk-aversion stemming from concerns over slowing economic growth in the United States after disappointing data overnight."
1390,"SHFE STOCKS REPORT 04/01: Zinc stocks soar amid arbitrage opportunities, quiet spot market; copper inventory dips ",1/4/2019,Susan Zou,"Zinc stocks on the Shanghai Futures Exchange surged by almost 40% week on week on Friday January 4, while stocks for other base metals, bar copper and nickel, posted modest weekly increases. "
1387,NEWSBREAK: Q1 MJP ALUMINIUM PREMIUM SETTLES 18% LOWER AT $83-85/T,1/4/2019,"Perrine Faye, Hui Li, Mia Aureus","The first quarter 2019 benchmark aluminium premium to main Japanese ports (MJP) has settled at $83-85 per tonne with at least 33,000 tonnes of deals confirmed. "
1376,LIVE FUTURES REPORT 07/01: LME base metals prices climb despite low liquidity; US-China talks spur positive market sentiment,1/7/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were collectively higher at the close of trading on Monday January 7, with low volumes capping price rallies amid a continued dip in the dollar index. "
1377,"PRICING NOTICE: Proposal to discontinue fob Singapore, Malaysia aluminium premiums ",1/7/2019,Mia Aureus,Fastmarkets proposes to discontinue its weekly aluminium premium assessments for aluminium P1020A fob Singapore and aluminium P1020A fob Malaysia.
1379,LIVE FUTURES REPORT 07/01: Dollar weakness provides buying momentum in LME base metals; nickel rally continues,1/7/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mostly higher during morning trading on Monday January 7, with continued weakness in the dollar index spurring buying momentum amid market optimism around US-China trade talks scheduled later today."
1378,"PEOPLE MOVES: Alexander Bullett leaves alumina, aluminium trading role at Noble ",1/7/2019,Justin Yang,"Alumina and aluminium trader Alexander Bullett has left Singapore trading house Noble, Fastmarkets learned. "
1381,LIVE FUTURES REPORT 07/01: SHFE base metals prices broadly rebound on improved risk appetite,1/7/2019,Huaqing Fu,"Base metals prices on the Shanghai Futures Exchange were mostly up during Asian morning trading on Monday January 7, supported by improved risk appetite on China’s aggressive monetary easing and the expectation that the US Federal Reserve would pause its monetary policy tightening this year."
1382,"Shanghai-bonded copper, zinc stocks rise in December due to closed import arbitrage window; nickel stocks fall",1/7/2019,"Ellie Wang, Anna Xu, Violet Li, Hui Li","Copper stocks at Shanghai-bonded warehouses rose in December from a month earlier after sustained losses in the import arbitrage between the London Metal Exchange and Shanghai Futures Exchange drove Chinese smelters to export copper, some of which entered the bonded zone."
1383,IN CASE YOU MISSED IT: 5 key stories from January 4,1/7/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Friday January 4 that are worth another look.
1380,"SHFE vs LME physical arbitrage 07/01: Copper, aluminium, zinc, nickel [CORRECTED]",1/7/2019,Anna Xu,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Monday January 7*"
1375,IN CASE YOU MISSED IT: 5 key stories from January 7,1/8/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Monday January 7 that are worth another look.
1374,LIVE FUTURES REPORT 08/01: SHFE base metals prices consolidate; lead weakens again,1/8/2019,Amy Lv,"Base metals prices on the Shanghai Futures Exchange broadly consolidated during Asian morning trading on Tuesday January 8, with market participants awaiting developments in the ongoing trade talks between China and the United States."
1373,"SHFE vs LME physical arbitrage 08/01: Copper, aluminium, zinc, nickel",1/8/2019,Anna Xu,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Tuesday January 8*"
1370,LIVE FUTURES REPORT 08/01: LME base metals prices upbeat amid US-China trade talks; tin nears $20k/t,1/8/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mixed at the close of trading on Tuesday January 8, with prices generally pushing higher amid positive risk sentiment against US-China trade talks, stronger global equity markets and a softer US dollar index. "
1371,LIVE FUTURES REPORT 08/01: Comex copper staggers higher in Tuesday session,1/8/2019,Dalton Barker,"Comex copper prices sustained a modest recovery Tuesday morning in the United States, with the market awaiting further clarity on the current trade unrest."
1369,WEEKLY BASE METAL PREMIUMS REPORT 08/01,1/8/2019,Fastmarkets MB staff,"A summary of base metals premiums from across the globe for the week to Tuesday January 8.

"
1372,"LIVE FUTURES REPORT 08/01: LME base metals prices consolidate in mixed trading; copper, nickel continue uptick ",1/8/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mixed during morning trading on Tuesday January 8, with prices remaining stable and market sentiment broadly positive amid US-China trade talks and a continued softening in the US dollar index. "
1368,"GLOBAL ALUMINIUM WRAP: LME spreads in contango boost Asia, Europe aluminium premiums",1/9/2019,"Justin Yang, Michael Roh, Hui Li, Mia Aureus, Renato Rostás","Aluminium premiums in Asia and Europe have risen over the past week, with some London Metal Exchange spreads now in wider contangoes."
1367,LIVE FUTURES REPORT 09/01: Trade optimism supports SHFE base metals prices,1/9/2019,Susan Zou,"Base metals prices on the Shanghai Futures Exchange were up across the board during Asian morning trading on Wednesday January 9, with the complex finding support from optimism stemming from positive trade headlines."
1366,"SHFE vs LME physical arbitrage 09/01: Copper, aluminium, zinc, nickel",1/9/2019,Anna Xu,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Wednesday January 9*"
1365,US House of Representatives requests delay to Rusal sanctions removal,1/9/2019,Alice Mason,The chairs of seven committees in the US House of Representatives requested that the US Treasury Department delay the proposed termination of sanctions against UC Rusal.
1364,LIVE FUTURES REPORT 09/01: Positive trading continues in LME base metals amid US-China trade optimism; tin climbs above $20k/t,1/9/2019,Hassan Butt,"Base metals on the London Metal Exchange were higher across the board during morning trading on Wednesday January 9, following positive sentiment in Asian markets while US-China trade talks and a continued softening of the US dollar index support upward price action. "
1363,LIVE FUTURES REPORT 09/01: Comex copper gains on softer dollar,1/9/2019,Dalton Barker,"The US copper price increased during midweek trading this morning in the US, amid a softer dollar and positive trade talks between the United States and China.
"
1362,"LIVE FUTURES REPORT 09/01: LME base metals price up amid US-China trade optimism; copper, nickel higher",1/9/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mostly higher at the close of trading on Wednesday January 9, with a continued uptrend in copper, nickel and tin futures topping gains while a softer US dollar index continues to support commodity investment. "
1354,LIVE FUTURES REPORT 10/01: LME zinc price stays on downtrend despite softer dollar index; tin still rising,1/10/2019,Hassan Butt,"Base metals prices on the London Metal Exchange had mixed fortunes at the close of trading on Thursday January 10, with zinc’s three-month price continuing its downtrend while positive US job data spurred a marginal uptick in the US dollar index.
"
1355,"Rebound in Chinese demand to boost aluminium prices in 2019, BMO says",1/10/2019,Amy Hinton,"Resurgent demand in China for aluminium was expected to increase prices for the metal in 2019, coming against restricted growth in supply volumes, analysts at BMO Capital Markets said this week.
"
1356,LME introduces time-limited fee cap for Brexit-related position transfers,1/10/2019,Hassan Butt,"The London Metal Exchange has altered its fee-cap structure to accommodate position transfers related to the United Kingdom’s impending exit from the European Union (Brexit), in line with the requirements of its membership base, according to a note released to members on Tuesday January 8."
1357,LIVE FUTURES REPORT 10/01: LME base metals prices consolidate in mixed trading but zinc falls 1.2%,1/10/2019,Hassan Butt,"Zinc came under pressure on the London Metal Exchange in morning trading on Thursday January 10, shrugging off continued market optimism about recent US-China trade talks."
1360,LIVE FUTURES REPORT 10/01: SHFE base metals prices under pressure after disappointing China data,1/10/2019,Susan Zou,"Base metals prices, barring those for nickel, on the Shanghai Futures Exchange were down across the board during Asian morning trading on Thursday January 10 following the release of weaker-than-expected Chinese data."
1359,"SHFE vs LME physical arbitrage 10/01: Copper, aluminium, zinc, nickel",1/10/2019,Anna Xu,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Thursday January 10* "
1361,IN CASE YOU MISSED IT: 5 key stories from January 9,1/10/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Wednesday January 9 that are worth another look.
1358,"China’s environmental watchdog to launch new inspections, minor metals participants downplay impact",1/10/2019,Huaqing Fu,"From 2019, Chinese central government regulators will begin a new round of environmental protection inspections in the country’s metals and mining industry, which will take about four years to complete."
1347,"ALUMINIUM FOUNDRY WRAP: European, US premiums flat; annual Japanese, South Korean premiums rise on Rusal uncertainty",1/11/2019,"Alice Mason, Michael Roh","Aluminium foundry alloy premiums in Europe and the United States were unchanged this month due to continued sluggish demand, while annual premiums in Asia climbed on uncertainty surrounding sanctions against UC Rusal. "
1348,"LME opens consultation on rule changes to cover Brexit, indirect clearing",1/11/2019,Hassan Butt,"The London Metal Exchange has opened a consultation period on a host of proposed rulebook changes and regulatory amendments, seeking feedback from its members and other interested parties.
"
1350,China alumina price yet to react to official warning on overcapacity,1/11/2019,Hui Li,"The domestic alumina market in China has shown no immediate effects from the country’s official warning of an overcapacity for the material, issued at the end of last year.
"
1349,LIVE FUTURES REPORT 11/01: Base metals continue uptrend; LME nickel price climbs 2%,1/11/2019,Hassan Butt,"Base metals closed mostly higher on the London Metal Exchange on Friday January 11 on improving risk appetite, with nickel climbing above $11,400 per tonne."
1352,"SHFE vs LME physical arbitrage 11/01: Copper, aluminium, zinc, nickel",1/11/2019,Anna Xu,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Friday January 11*"
1353,"LIVE FUTURES REPORT 11/01: SHFE base metals prices extend losses; lead, tin edge up",1/11/2019,Susan Zou,"Base metals prices on the Shanghai Futures Exchange were broadly down during Asian morning trading on Friday January 11, extending the weakness experienced on Thursday following disappointing economic data from China. "
1351,"LIVE FUTURES REPORT 11/01: LME nickel, tin prices continue uptrend; copper vols high in positive trading ",1/11/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mostly higher during morning trading on Friday January 11, with nickel’s three-month price leading gains amid a broadly positive market sentiment."
1343,LIVE FUTURES REPORT 14/01: Weak Chinese export data continues to limit LME base metals,1/14/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mostly lower day-on-day at the close of trading on Monday January 14, with investors continuing to limit commodity investment after weak Chinese export data fueled concerns of a slowdown in global economic growth.
"
1345,"LIVE FUTURES REPORT 14/01: LME base metals prices fall on weak Chinese data; copper, zinc lose support ",1/14/2019,Hassan Butt,"Base metals on the London Metal Exchange were collectively lower during morning trading on Monday January 14, weakened by poor economic data from China at a time when global trade uncertainty continues to dampen risk appetite. "
1346,LIVE FUTURES REPORT 14/01: SHFE base metal prices broadly down; nickel supported,1/14/2019,Hui Li,"Base metals prices on the Shanghai Futures Exchange were broadly down during Asian morning trading on Monday January 14, with weakness in US equity markets last Friday denting investors’ risk appetite."
1344,PEOPLE MOVES: SocGen trader Harmendjian joins Tiberius,1/14/2019,Hassan Butt,"Commodity derivatives trader Jo Harmendjian has left his role in the base metals team at Societe Generale and has joined Switzerland-based investment management firm, Tiberius Group, Fastmarkets has learned. "
1342,LIVE FUTURES REPORT 15/01: SHFE base metals prices consolidate after Monday’s data-inspired weakness,1/15/2019,Hui Li,"Base metals prices on the Shanghai Futures Exchange largely consolidated during Asian morning trading on Tuesday January 15, following weakness on Monday that had been driven by poor Chinese trade data."
1336,LIVE FUTURES REPORT 15/01: LME base metals prices continue uptrend; zinc down 1.1%,1/15/2019,"Hassan Butt, Amy Hinton","Base metals prices on the London Metal Exchange were predominantly higher at the close of trading on Tuesday January 15, with a continued uptrend in nickel and tin futures topping gains while zinc and lead prices edged lower. "
1337,EXCLUSIVE: LME to launch discussion paper on warehouse rule changes; relaxing QBRC to 80 days,1/15/2019,Alice Mason,"The London Metal Exchange will launch a discussion paper proposing changes to current warehouse rules, including relaxing queue-based rent capping (QBRC) to 80 days, chief executive officer Matthew Chamberlain said. "
1335,WEEKLY BASE METAL PREMIUMS REPORT 15/01,1/15/2019,Fastmarkets MB staff,A summary of base metals premiums from across the globe for the week to Tuesday January 15.
1339,LIVE FUTURES REPORT 15/01: LME base metals prices move up on weak US dollar; zinc futures dip,1/15/2019,Amy Hinton,"Base metals prices on the London Metal Exchange mostly consolidated higher during morning trading on Tuesday January 15, bolstered by increased consumer demand and a weakened US dollar."
1340,Vedanta’s aluminium primary foundry alloy production to increase tenfold in 2019,1/15/2019,Amy Hinton,"India aluminium producer Vedanta is set to increase its primary foundry alloy and aluminium silicon t-ingot production from 30,000 to 300,000 tonnes by the end of 2019."
1341,"SHFE vs LME physical arbitrage 15/01: Copper, aluminium, zinc, nickel",1/15/2019,Violet Li,"The arbitrage for copper, aluminium, zinc and nickel imported into China on Tuesday January 15*"
1338,LIVE FUTURES REPORT 15/01: Comex copper prices recover on Chinese stimulus news,1/15/2019,Dalton Barker,Comex copper prices bounced-back on Tuesday morning in the US amid news of another round of Chinese monetary stimulus arriving soon.
1325,"LIVE FUTURES REPORT 16/01: LME zinc price climbs 1.6% in high-volume trading; copper nears $6,000/t",1/16/2019,Hassan Butt,"Zinc’s three-month price on the London Metal Exchange gained support at the close of trading on Wednesday January 16, with the rest of the complex following the upward trend amid a softer US dollar index and stable performances in US equity markets. 
"
1334,"GLOBAL ALUMINIUM WRAP: Europe, Asia premiums continue uptrend following LME contango",1/16/2019,"Justin Yang, Alice Mason, Hui Li, Renato Rostás","Aluminium premiums in Europe, Asia and Brazil continued to move upward in the week ended Tuesday January 15, on wide contangoes in the London Metal Exchange aluminium price spreads.
"
1332,"SHFE vs LME physical arbitrage 16/01: Copper, aluminium, zinc, nickel",1/16/2019,Violet Li,"The arbitrage for copper, aluminium, zinc and nickel imported into China on Tuesday January 16*"
1331,"LIVE FUTURES REPORT 16/01: Nickel futures continue uptrend in positive LME trading; copper, zinc push higher ",1/16/2019,Hassan Butt,"Base metals on the London Metal Exchange were predominantly higher during morning trading on Wednesday January 16, with a slight downturn in the US dollar index providing legroom for upward price action while nickel futures continue to gain traction. "
1330,SEMAS production embargo at Hydro's Alunorte alumina refinery removed,1/16/2019,"Alice Mason, Hui Li","The Brazilian environmental agency in the state of Pará, SEMAS, has removed the production embargo at the Alunorte refinery owned by Hydro, the world’s biggest alumina producer. 
"
1329,PRICING NOTICE: Holiday pricing schedule for 2019-2020,1/16/2019,Fastmarkets MB staff,View the Fastmarkets holiday pricing schedule for 2019 and 2020.
1328,LME phone market under threat from pre-trade transparency regulation,1/16/2019,Hassan Butt,"The London Metal Exchange is opening a market consultation period regarding its approach to pre-trade transparency, and has suggested three possible ways to meet the requirements set out by the European Union’s MiFID II regulation, it said in a note to members on Tuesday January 15."
1327,Aluminium premiums bullish on fears US Senate could block removal of Rusal sanctions,1/16/2019,"Justin Yang, Alice Mason","Participants in the European physical aluminium market were offering higher premiums on Wednesday January 16 on renewed concern about whether the United States will remove its sanctions on Russian aluminium producer UC Rusal.
"
1326,LIVE FUTURES REPORT 16/01: Comex copper jumps in midweek session,1/16/2019,Dalton Barker,Comex copper prices increased on Wednesday morning in the United States amid positive tailwinds from the Chinese stimulus news.
1333,LIVE FUTURES REPORT 16/01: SHFE base metals prices broadly up; lead softens,1/16/2019,Hui Li,"Base metals prices on the Shanghai Futures Exchange were predominantly higher during Asian morning trading on Wednesday January 16, with the complex continuing to find support from Chinese authorities’ pledge to slash taxes as part of a new stimulus drive. "
1324,"LIVE FUTURES REPORT 17/01: SHFE base metals prices soften on stronger dollar, renewed US-China concerns",1/17/2019,Hui Li,"Base metals prices on the Shanghai Futures Exchange were little changed to weaker during Asian morning trading on Thursday January 17, with the complex coming under pressure from a firmer dollar and renewed US-China concerns."
1322,"SHFE vs LME physical arbitrage 17/01: Copper, aluminium, zinc, nickel",1/17/2019,Violet Li,"The arbitrage for copper, aluminium, zinc and nickel imported into China on Thursday January 17*"
1323,US Treasury extends Rusal deadline to January 28,1/17/2019,Alice Mason,"The US Treasury Department’s Office of Foreign Assets Control (OFAC) has again extended the expiration date of general licenses relating to UC Rusal, this time to January 28 from January 21."
1315,LIVE FUTURES REPORT 17/01: LME base metals consolidate in mixed trading; zinc futures up 2%,1/17/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mixed at the close of trading on Thursday January 17, with zinc futures climbing just under 2% while positive trading in aluminium resulted in the metal’s moderate volume the highest in today’s trading. "
1316,Chinese Al exports up 19.8% y-o-y in Dec; market fears weak domestic demand,1/17/2019,Hui Li,"China’s exports of unwrought aluminium and aluminium products increased by 19.8% in December 2018 compared with December 2017, but down 0.6% from November 2018, according to preliminary Chinese customs data."
1317,New Fastmarkets-settled alumina contract on the LME,1/17/2019,Alice Mason,"The London Metal Exchange will launch its new cash-settled alumina contract on March 11, to be settled on the Fastmarkets MB index in a basket. 
"
1314,BNP Paribas applies for LME category II membership,1/17/2019,Hassan Butt,"French international banking group BNP Paribas has applied for category II membership of the London Metal Exchange, according to a notice released to members on Thursday January 17.
"
1319,LME to launch seven new contracts on March 11,1/17/2019,Alice Mason,"The London Metal Exchange has announced it will launch seven of its new cash-settled futures products on March 11, and has selected Fastmarkets to be the price provider for three of the new contracts."
1320,PEOPLE MOVES: Ex-Kyen trader Nishchay Chadha joins Viant Commodities,1/17/2019,Julian Luk,"Former trader at Kyen Resources, Nishchay Chadha, has joined Viant Commodities as their head of trading in the Viant office in Singapore, Fastmarkets has learned. 
"
1318,New Fastmarkets-settled duty-unpaid aluminium contract on the LME,1/17/2019,Alice Mason,The new London Metal Exchange cash-settled aluminium duty-unpaid European contract will be settled against Fastmarkets MB’s benchmark Rotterdam premium.
1321,LIVE FUTURES REPORT 17/01: Low LME stocks boost tin price; rest of complex consolidates in quiet morning trading,1/17/2019,"Hassan Butt, Amy Hinton","Base metals prices on the London Metal Exchange were mostly lower during morning trading on Thursday January 17, with tin the only metal to trade in positive territory while the rest of the complex consolidated amid a stronger dollar index. 
"
1304,US non-ferrous auto shred price pressured by supply concerns,1/18/2019,Bradley MacAulay,"Pressure is mounting in the non-ferrous auto shred (twitch) market in the United States, with suppliers and consumers in strong negotiations for material next month."
1305,LIVE FUTURES REPORT 18/01: Focus on US-China  trade talks as nickel rises 1.9%,1/18/2019,Amy Hinton,"Prices in the base metals complex consolidated higher at the close of trade on Friday January 18 amid continued optimism about trade talks between the United States and China, and increased bullish sentiment overall.
"
1307,"SHFE STOCKS REPORT 18/01: Zinc, copper and lead stocks up due to thin trades ahead of Chinese Lunar New Year ",1/18/2019,Ellie Wang,"Copper, zinc and lead stocks on the Shanghai Futures Exchange were up week on week on Friday January 18 in a quiet trading week in China, while aluminum, nickel and tin stocks fell. "
1306,Alcoa forecasts 2019 alumina surplus on China production rises [CORRECTED],1/18/2019,Amy Hinton,"United States-based Alcoa, the world’s eighth-largest aluminium producer, has forecast a surplus of alumina in 2019 while it increases aluminium metal shipments.
"
1310,"SHFE vs LME physical arbitrage 18/01: Copper, aluminium, zinc, nickel",1/18/2019,Violet Li,"The arbitrage for copper, aluminium, zinc and nickel imported into China on Friday January 18*"
1311,LIVE FUTURES REPORT 18/01: SHFE base metals prices rally on easing US-China trade tensions; tin dips,1/18/2019,Hui Li,"Most base metals prices on the Shanghai Futures Exchange were up during Asian morning trading on Friday January 18, with the complex benefiting from renewed optimism that US-China trade tensions may ease."
1312,RIO TINTO AT A GLANCE: Q4 production results,1/18/2019,Justin Yang,"Summary of Rio Tinto's fourth-quarter production results for the three months ended December 31, 2018: (Rio Tinto share unless otherwise indicated, year-on-year change)"
1313,IN CASE YOU MISSED IT: 5 key stories from January 17,1/18/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Thursday January 17 that are worth another look.
1308,MJP aluminium stocks up 7.2% in Dec vs Nov 2018 - Marubeni,1/18/2019,Hui Li,"Primary aluminium stocks at the three main Japanese ports (MJP) climbed 7.2% month on month in December, based on data released by major Japanese trading house Marubeni on Friday January 18. "
1309,LIVE FUTURES REPORT 18/01: LME base metals firmer amid rising US-China trade deal optimism; 22kt aluminium freshly canceled,1/18/2019,Amy Hinton,"Growing optimism for a US-China trade agreement has prompted London Metal Exchange base metals prices to consolidate higher across the board in morning trading on Friday January 18, with zinc’s 1.3% increase leading the charge. "
1303,GLOBAL ALUMINIUM BILLET WRAP: Weak fundamentals pressure global spot premiums; participants await Rusal developments,1/21/2019,"Justin Yang, Alice Mason, Michael Roh, Renato Rostás","Global aluminium billet premiums were flat or lower on Friday January 18, with market participants citing ample availability of material and lackluster demand as the main reasons behind the moves."
1302,LIVE FUTURES REPORT 21/01: US-China trade optimism continues to buoy SHFE base metals prices,1/21/2019,Karen Ng,"Base metals prices, barring those for tin, on the Shanghai Futures Exchange were up during Asian morning trading on Monday January 21, with residual optimism over trade talks between China and the United States helping to offset some weak Chinese data earlier this morning."
1301,"SHFE vs LME physical arbitrage 21/01: Copper, aluminium, zinc, nickel",1/21/2019,Amy Lv,"Arbitrage for copper, aluminium, zinc and nickel imported into China on Monday January 21 *"
1300,China’s ‘looser’ aluminium winter cuts has limited effect after 7.4% increase in total output in 2018,1/21/2019,Hui Li,"China produced 35.8 million tonnes of aluminium in 2018, up 7.4% year on year, according to data released by China’s Statistics Bureau on Monday January 21, suggesting the annual winter production cuts did little to slow output in the country. "
1299,LIVE FUTURES REPORT 21/01: Base metals have mixed morning after Chinese data release,1/21/2019,Amy Hinton,"Base metals on the London Metal Exchange complex consolidated in mixed morning trading on Monday 21 January, while market focus shifted to China’s fourth-quarter data release."
1298,LIVE FUTURES REPORT 21/01: Mixed trading continues as uncertainty about China builds,1/21/2019,Amy Hinton,"The base metals complex showed mixed results in afternoon trading on Monday January 21, with London Metal Exchange-three month prices for copper, aluminium and nickel failing to live up to last week’s universal closing rally.
"
1295,Global primary aluminium output up 1.8% vs last year in December 2018,1/22/2019,Amy Hinton,"Global primary aluminium production totaled 55 million tonnes in December 2018, an increase of 1.8% year on year, according to figures released by the International Aluminium Institute on Monday January 21. "
1296,"LIVE FUTURES REPORT 22/01: LME Al price increases amid 37kt cancelation; zinc, lead trend higher",1/22/2019,Hassan Butt,"Base metals prices on the London Metal Exchange were mixed during morning trading on Tuesday January 22, with aluminium futures leading gains on more than 37,000 tonnes freshly canceled while broad strength in the US dollar index fueled downward pressure. "
